coursename,courseid,accouncementcount,groupdiscussioncount,individualdiscussioncount,sectioncount,assignmentcount,gradedassignmentcount,nongradedassignmentcount,modulecount,wikipagecount,assignmentattachmentcount,courseattachmentcount,groupcount,quizcount,quizquestioncount,externaltoolcount,moduleurlcount,tacount,studentcount
DEV-2019Spring-EXW341,72360000000008223,3,0,6,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0
POS 394: Prof. Career Development (2019 Spring),72360000000008115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLefebvre,72360000000004831,0,0,0,2,0,0,0,0,54,0,53,0,0,0,0,0,0,0
DEV-Sandbox-spete,72360000000001212,2,0,0,1,26,26,0,1,19,0,70,0,0,0,0,0,0,0
History of Aviation,72360000000002204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-plewis3,72360000000005325,1,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0
Introduction to learning Management System (DEV),72360000000002473,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0
ENG 551 (Dev),72360000000003709,1,0,8,1,15,15,0,16,52,0,0,0,0,0,0,0,1,0
SOS 527/BIO 527: Environmental Ethics & Policy Goals (2019 Spring),72360000000007285,0,0,2,2,0,0,0,15,70,0,70,0,0,0,3,5,0,0
MGT 300: 73536 Org Fall 2018,72360000000001870,0,0,0,1,6,6,0,1,10,0,25,0,0,0,2,0,0,197
"WAC 101: Intro to Academic Writing, MWF 11:50 (2018 Fall)",72360000000004450,2,0,8,1,20,20,0,5,25,19,81,0,0,0,0,4,0,17
HCR 264: Regulatory Essentials I (2018 Fall - A),72360000000001976,16,0,9,1,15,15,0,9,26,0,63,0,2,17,0,42,0,9
SOS 110: Sustainable World (2018 Fall) (78198),72360000000005078,29,0,0,1,6,6,0,0,0,3,12,0,0,0,0,0,0,21
ENG 108: First-Year Composition (2018 Fall),72360000000003525,3,0,0,1,0,0,0,7,19,0,0,0,0,0,0,0,0,37
HDA 513: Creativity and Design Thinking (2018 Fall),72360000000001745,0,0,0,1,6,6,0,0,2,0,21,0,0,0,0,0,0,6
Dev-canvas-4-jlucht,72360000000005888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SST 604: Sexuality Studies (2019 Spring),72360000000005811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panhuise-TMC-430,72360000000004772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dev-canvas-4-cmbrow48,72360000000006434,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE 231: IntroTransport Phenom I:Fluids (2018 Summer - B),72360000000001468,19,0,3,1,42,42,0,0,0,6,44,0,0,0,0,0,2,54
GBL 60: Intermed 1 Listening/Speaking (2018 Fall - B),72360000000006801,12,0,0,1,35,35,0,0,0,0,4,0,0,0,0,0,0,17
Ldoemlan Canvas Sandbox,72360000000007102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIS 311: Business Project Management (2018 Fall - A),72360000000003204,20,1,7,1,21,21,0,9,27,62,53,6,0,0,7,1,0,28
"ASB 333: Frauds, Myths and Mysteries (2019 Spring - B)",72360000000007430,5,0,10,1,13,13,0,21,69,0,1342,0,0,0,4,0,0,0
ACC 420: Mgmt Acc for Corp Accts II (2018 Fall - B),72360000000005393,6,0,15,1,18,18,0,13,48,0,427,0,7,21,7,32,0,11
AIS 194: Beginning Navajo I (2018 Fall),72360000000002647,5,0,14,1,16,16,0,22,31,3,48,0,0,0,0,0,0,16
72970: ENG 102: FYC (2018 Fall),72360000000003800,11,0,3,1,8,8,0,0,0,5,9,0,0,0,0,0,0,22
Mo_Practice,72360000000007861,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canvas Workshop - Bruce - 1,72360000000007415,16,0,30,1,30,30,0,6,47,0,71,0,0,0,0,0,0,0
LIA 101: Student Success in CLAS (2018 Fall),72360000000003915,20,0,12,1,31,31,0,12,22,11,25,0,0,0,0,2,0,19
ECD 593: Applied Project (Development - Online),72360000000003298,0,36,7,1,16,16,0,9,31,0,45,13,0,0,4,0,0,0
ECD 505: Foundations of Early Childhood Education (Development - Online),72360000000003308,0,54,9,1,19,19,0,9,33,0,88,6,3,30,4,0,0,0
Child Welfare Education Program,72360000000006532,0,0,0,2,0,0,0,0,4,0,8,0,0,0,0,0,0,8
SPA 325,72360000000007553,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV-Fall-B-PH,72360000000004834,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASM 104: Bones, Stones ",72360000000002057,5,0,90,1,14,14,0,8,101,0,408,0,1,1,3,0,0,694
Dev-canvas-4-pkulinna,72360000000006740,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASU 101-CPP: The ASU Experience (2018 Fall),72360000000004210,19,0,0,1,34,34,0,1,8,21,15,0,0,0,3,0,0,19
MovementScience_Faculty - null,72360000000007050,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENS Graduate Applications,72360000000004985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEV ABS555,72360000000002637,1,0,0,1,0,0,0,0,9,0,61,0,0,0,0,0,0,0
ITA 494 Paris and Florence Spring 2019,72360000000007491,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGL 200 Development Shell Fall 2018 - null,72360000000004638,0,0,0,1,0,0,0,14,74,0,127,0,0,0,0,13,0,0
ENG 102: MWF 10:45 (2018 Fall),72360000000003252,10,28,5,1,15,15,0,12,20,5,5,23,1,10,0,0,0,24
SWG 533: Diversity/Oppression/Soc Work (2018 Fall),72360000000001829,3,7,1,1,4,4,0,4,57,1,39,21,0,0,0,0,0,20
SOS 598: Carbon Capture (2018 Fall),72360000000003789,0,0,0,1,0,0,0,0,2,0,49,0,0,0,0,0,0,3
ENG 101 Duerden Sandbox - null,72360000000007361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development Class,72360000000003842,0,0,11,1,0,0,0,3,41,0,10,0,0,0,0,0,0,0
HON 171: The Human Event (2018 Fall),72360000000004279,28,0,0,1,12,12,0,3,0,21,34,0,0,0,3,1,0,59
MIC 206: Microbiology Laboratory (2018 Fall),72360000000001561,7,3,0,3,33,33,0,6,30,0,62,5,10,36,0,0,0,78
"CRJ 305: Gender,Crime&Criminal Justice (2018 Fall - B)",72360000000005439,8,0,6,1,13,13,0,3,13,0,124,0,0,0,3,0,0,36
Dev-canvas-4-btdente,72360000000006781,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Mercedes Anderson's Sandbox,72360000000001751,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRM 364,72360000000001988,0,15,3,1,4,4,0,27,74,0,22,4,0,0,0,0,0,0
ACC 504: Basics of Managerial Acct (2018 Fall - B),72360000000006486,10,0,1,1,8,8,0,6,31,0,25,6,1,1,5,0,1,16
MGT 530: Influence and Negotiations (2019 Spring - DYN),72360000000007124,1,0,0,1,4,4,0,4,3,0,89,0,0,0,5,0,1,0
2018Fall_MAT142_Manley_77936_10:30 AM,72360000000003527,0,0,0,1,43,43,0,6,60,1,46,0,0,0,0,1,1,55
GBL 61: Intermed 1 Reading/Writing (2018 Fall - A),72360000000004104,34,0,0,1,45,45,0,2,0,7,13,0,0,0,0,0,0,12
